County,Year,Conviction,Violent Felony Offenses (VFO),Drugs,DWI,Property,Other,Total
Albany,1970,Felony,9,13,0,14,6,42
Albany,1970,Misdemeanor,0,39,1,37,30,107
Allegany,1970,Felony,1,0,0,10,2,13
Allegany,1970,Misdemeanor,0,0,0,7,1,8
Bronx,1970,Felony,9,30,0,32,67,138
Bronx,1970,Misdemeanor,0,361,1,207,257,826
Broome,1970,Felony,4,15,2,25,16,62
Broome,1970,Misdemeanor,0,8,0,11,5,24
Cattaraugus,1970,Felony,0,3,1,4,4,12
Cattaraugus,1970,Misdemeanor,0,1,0,3,3,7
Cayuga,1970,Felony,0,0,0,7,0,7
Cayuga,1970,Misdemeanor,0,0,0,6,1,7
Chautauqua,1970,Felony,6,1,1,20,3,31
Chautauqua,1970,Misdemeanor,0,1,0,8,2,11
Chemung,1970,Felony,1,7,1,13,0,22
Chemung,1970,Misdemeanor,0,1,0,3,1,5
Chenango,1970,Felony,1,0,0,3,1,5
Chenango,1970,Misdemeanor,0,0,0,7,2,9
Clinton,1970,Felony,0,0,0,6,0,6
Clinton,1970,Misdemeanor,0,1,0,6,1,8
Columbia,1970,Felony,0,0,0,8,0,8
Columbia,1970,Misdemeanor,0,3,0,8,11,22
Cortland,1970,Felony,1,2,0,1,2,6
Cortland,1970,Misdemeanor,0,2,0,3,1,6
Delaware,1970,Felony,1,3,0,2,1,7
Delaware,1970,Misdemeanor,0,1,0,7,4,12
Dutchess,1970,Felony,3,3,1,7,2,16
Dutchess,1970,Misdemeanor,0,7,0,5,9,21
Erie,1970,Felony,25,23,0,37,31,116
Erie,1970,Misdemeanor,0,25,0,86,97,208
Essex,1970,Felony,0,1,0,2,2,5
Essex,1970,Misdemeanor,0,8,0,7,2,17
Franklin,1970,Felony,1,2,0,8,0,11
Franklin,1970,Misdemeanor,0,0,0,6,1,7
Fulton,1970,Felony,0,4,0,12,0,16
Fulton,1970,Misdemeanor,0,0,0,2,2,4
Genesee,1970,Felony,0,0,3,0,0,3
Genesee,1970,Misdemeanor,0,0,0,0,1,1
Greene,1970,Felony,0,3,0,6,2,11
Greene,1970,Misdemeanor,0,2,1,6,4,13
Hamilton,1970,Felony,0,1,0,0,0,1
Hamilton,1970,Misdemeanor,0,0,0,0,0,0
Herkimer,1970,Felony,4,0,0,1,0,5
Herkimer,1970,Misdemeanor,0,1,0,6,2,9
Jefferson,1970,Felony,3,1,0,10,2,16
Jefferson,1970,Misdemeanor,0,2,1,17,4,24
Kings,1970,Felony,47,26,1,32,210,316
Kings,1970,Misdemeanor,0,130,2,173,137,442
Lewis,1970,Felony,0,0,0,0,0,0
Lewis,1970,Misdemeanor,0,0,0,4,1,5
Livingston,1970,Felony,0,0,0,5,1,6
Livingston,1970,Misdemeanor,0,2,0,2,1,5
Madison,1970,Felony,0,0,0,2,0,2
Madison,1970,Misdemeanor,0,0,1,5,4,10
Monroe,1970,Felony,20,27,3,91,49,190
Monroe,1970,Misdemeanor,0,37,5,89,69,200
Montgomery,1970,Felony,1,0,1,0,0,2
